,classType,operationFlags,procname,low_0_sysname,low_0_blob_flags,low_0_blob_mode,low_0_blob_filename,low_0_type,low_0_id,low_0_ts,low_1_sysname,low_1_xref,low_1_ts,low_1_blob_filename,low_1_type,low_1_id,tid,class
0,0,0,<pre-initialized>,open,147456,1,/sys/devices/system/cp,SYSCALL,506,1545638795.531,close,506.0,1545638795.531,/sys/devices/system/cp,SYSCALL,509.0,1163,FS ACCESS
1,0,0,com.topteam.flashlight,open,131072,1,/data/app/com.topteam.flashlight-1.odex,SYSCALL,592,1545638796.587,,,,,,,1163,FS ACCESS
2,0,0,com.topteam.flashlight,open,131072,1,/vendor/lib/libsoundpool.so,SYSCALL,686,1545638796.594,,,,,,,1163,FS ACCESS
3,0,0,com.topteam.flashlight,open,131072,1,/system/lib/libsoundpool.so,SYSCALL,687,1545638796.594,close,687.0,1545638796.594,/system/lib/libsoundpool.so,SYSCALL,689.0,1163,FS ACCESS
4,0,0,com.topteam.flashlight,open,131072,1,/data/app/com.topteam.flashlight-1.apk,SYSCALL,726,1545638796.596,close,726.0,1545638796.596,/data/app/com.topteam.flashlight-1.apk,SYSCALL,731.0,1163,FS ACCESS
5,0,0,com.topteam.flashlight,open,131072,1,/data/app/com.topteam.flashlight-1.apk,SYSCALL,734,1545638796.596,close,734.0,1545638796.596,/data/app/com.topteam.flashlight-1.apk,SYSCALL,739.0,1163,FS ACCESS
6,0,0,com.topteam.flashlight,open,147456,1,/data/data/com.topteam.flashlight/app_pushimgs,SYSCALL,814,1545638796.604,close,814.0,1545638796.604,/data/data/com.topteam.flashlight/app_pushimgs,SYSCALL,817.0,1163,FS ACCESS
7,0,0,com.topteam.flashlight,open,131072,1,/data/misc/keychain/pins,SYSCALL,1477,1545638797.739,,,,,,,1163,FS ACCESS
8,0,0,com.topteam.flashlight,open,131072,1,/system/framework/webview/paks/en-US.pak,SYSCALL,1865,1545638799.30,,,,,,,1163,FS ACCESS
9,0,0,com.topteam.flashlight,open,131072,1,/system/framework/webview/paks/webviewchromium.pak,SYSCALL,1868,1545638799.30,,,,,,,1163,FS ACCESS
10,0,0,com.topteam.flashlight,open,131072,1,/data/data/com.topteam.flashlight/app_webview/File System/primary.origin,SYSCALL,2939,1545638799.39,,,,,,,1163,FS ACCESS
11,0,0,com.topteam.flashlight,open,131072,1,/data/data/com.topteam.flashlight/app_webview,SYSCALL,4720,1545638799.51,close,4720.0,1545638799.51,/data/data/com.topteam.flashlight/app_webview,SYSCALL,4797.0,1163,FS ACCESS
