,classType,operationFlags,procname,low_0_sysname,low_0_blob_flags,low_0_blob_mode,low_0_blob_filename,low_0_type,low_0_id,low_0_ts,tid,class,low_1_sysname,low_1_xref,low_1_ts,low_1_blob_filename,low_1_type,low_1_id
0,0,4,zygote,open,131138,1,/acct/uid/10052/tasks,SYSCALL,208,1545638795.516,1163,FS ACCESS(CREATE),,,,,,
1,0,4,com.topteam.flashlight,open,131138,1,/data/dalvik-cache/data@app@com.topteam.flashlight-1.apk@classes.dex,SYSCALL,593,1545638796.587,1163,FS ACCESS(CREATE),,,,,,
2,0,4,com.topteam.flashlight,open,131266,1,/data/data/com.topteam.flashlight/app_pushimgs/adwords_bg.png,SYSCALL,823,1545638796.605,1163,FS ACCESS(CREATE),close,823.0,1545638796.605,/data/data/com.topteam.flashlight/app_pushimgs/adwords_bg.png,SYSCALL,825.0
3,0,4,com.topteam.flashlight,open,131266,1,/data/data/com.topteam.flashlight/app_pushimgs/arrow_down.png,SYSCALL,834,1545638796.607,1163,FS ACCESS(CREATE),close,834.0,1545638796.607,/data/data/com.topteam.flashlight/app_pushimgs/arrow_down.png,SYSCALL,836.0
4,0,4,com.topteam.flashlight,open,131266,1,/data/data/com.topteam.flashlight/app_pushimgs/arrow_up.png,SYSCALL,843,1545638796.607,1163,FS ACCESS(CREATE),close,843.0,1545638796.607,/data/data/com.topteam.flashlight/app_pushimgs/arrow_up.png,SYSCALL,845.0
5,0,4,com.topteam.flashlight,open,131266,1,/data/data/com.topteam.flashlight/app_pushimgs/bottom_bg.png,SYSCALL,852,1545638796.607,1163,FS ACCESS(CREATE),close,852.0,1545638796.607,/data/data/com.topteam.flashlight/app_pushimgs/bottom_bg.png,SYSCALL,854.0
6,0,4,com.topteam.flashlight,open,131266,1,/data/data/com.topteam.flashlight/app_pushimgs/bottom_btn_cancel.png,SYSCALL,862,1545638796.607,1163,FS ACCESS(CREATE),close,862.0,1545638796.607,/data/data/com.topteam.flashlight/app_pushimgs/bottom_btn_cancel.png,SYSCALL,864.0
7,0,4,com.topteam.flashlight,open,131266,1,/data/data/com.topteam.flashlight/app_pushimgs/bottom_btn_install.png,SYSCALL,872,1545638796.608,1163,FS ACCESS(CREATE),close,872.0,1545638796.608,/data/data/com.topteam.flashlight/app_pushimgs/bottom_btn_install.png,SYSCALL,874.0
8,0,4,com.topteam.flashlight,open,131266,1,/data/data/com.topteam.flashlight/app_pushimgs/btn_install.png,SYSCALL,883,1545638796.608,1163,FS ACCESS(CREATE),close,883.0,1545638796.608,/data/data/com.topteam.flashlight/app_pushimgs/btn_install.png,SYSCALL,885.0
9,0,4,com.topteam.flashlight,open,131266,1,/data/data/com.topteam.flashlight/app_pushimgs/img_bg.png,SYSCALL,893,1545638796.608,1163,FS ACCESS(CREATE),close,893.0,1545638796.608,/data/data/com.topteam.flashlight/app_pushimgs/img_bg.png,SYSCALL,895.0
10,0,4,com.topteam.flashlight,open,131266,1,/data/data/com.topteam.flashlight/app_pushimgs/item_btn.png,SYSCALL,905,1545638796.608,1163,FS ACCESS(CREATE),close,905.0,1545638796.608,/data/data/com.topteam.flashlight/app_pushimgs/item_btn.png,SYSCALL,907.0
11,0,4,com.topteam.flashlight,open,131266,1,/data/data/com.topteam.flashlight/app_pushimgs/m_star.png,SYSCALL,914,1545638796.608,1163,FS ACCESS(CREATE),close,914.0,1545638796.608,/data/data/com.topteam.flashlight/app_pushimgs/m_star.png,SYSCALL,916.0
12,0,4,com.topteam.flashlight,open,131266,1,/data/data/com.topteam.flashlight/app_pushimgs/pop_back.png,SYSCALL,925,1545638796.608,1163,FS ACCESS(CREATE),close,925.0,1545638796.608,/data/data/com.topteam.flashlight/app_pushimgs/pop_back.png,SYSCALL,927.0
